Organization,Language,Work Location,Number of Positions,Area of Selection,Classification,Education,Process Number,Poster URL,Title,Open Date,Close date,Number of Applications
"Public Services and Procurement Canada","Various language requirements and/or profiles","Various locations","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","2022-SVC-IA-HQ-426710","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1816359","Various Director positions (Anticipatory)","2022-08-03","2022-08-17",145
"Public Services and Procurement Canada","Various language requirements and/or profiles","Multiple locations","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2017-SVC-HQ-IA-283378","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1010059","Various Director / Regional Director Positions","2017-03-21","2017-03-31",152
"Public Services and Procurement Canada","Bilingual - imperative","Multiple locations","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","2022-SVC-IA-HQ-415604","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1743530","Anticipatory, Various Director Positions related to Pay Administration","2022-03-18","2022-03-28",153
"Public Services and Procurement Canada","Bilingual - imperative","Multiple locations","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","2020-SVC-IA-HQ-368369","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1447552","Director, Various positions","2020-06-16","2020-06-23",282
"Public Services and Procurement Canada","Bilingual - imperative","Multiple locations","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","2018-SVC-IA-HQ-EX01","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1124387","Want to join the Executive Community @PSPC as an EX-01?","2018-04-30","2018-05-09",291
"Public Services and Procurement Canada","Various language requirements and/or profiles","Multiple locations","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","2018-SVC-IA-HQ-324038","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1194638","Regional Director, Various Positions (** Amendments to experience below; E4 and AE9)","2018-08-21","2018-09-07",311
"Public Services and Procurement Canada","Bilingual - imperative","Multiple locations","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","2016-SVC-IA-HQ-13477","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=887737","Director","2016-02-25","2016-03-07",335
"Public Services and Procurement Canada","Various language requirements and/or profiles","Multiple locations","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","2020-SVC-IA-HQ-383005","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1534072","Regional Director, Various Positions","2021-01-29","2021-02-08",369
"Registrar of the Supreme Court of Canada","Bilingual - imperative","National Capital Region","One Position","External Process","EX01","Post-secondary","23-SUC-EA-3559","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1945755","Director, Communications & Outreach*AMENDMENT TO CLOSING DATE*","2023-03-03","2023-03-19",55
"Royal Canadian Mounted Police (Public Service Employees)","Bilingual - imperative","International, Outside Canada","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","17-RCM-IA-N-N-FP-66459","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1032582","Strategic Advisor, Interpol","2017-04-19","2017-04-24",4
"Royal Canadian Mounted Police (Public Service Employees)","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","17-RCM-IA-N-N-OTT-FSIS-69021","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1081180","Director, Forensic Services Policy and Program","2017-10-03","2017-10-18",4
"Royal Canadian Mounted Police (Public Service Employees)","Bilingual - imperative","New Brunswick, Bathurst Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","18-RCM-IA-N-S-MIR-CFP-78358-2","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1223955","Director, Firearms Service Delivery","2018-10-19","2018-10-29",4
"Royal Canadian Mounted Police (Public Service Employees)","Bilingual - imperative","New Brunswick, Bathurst Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","18-RCM-IA-N-S-MIR-CFP-78358-3","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1227905","Director, Firearms Service Delivery","2018-10-30","2018-11-06",4
"Royal Canadian Mounted Police (Public Service Employees)","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Professional degree","20-RCM-IA-N-N-NCR-EODR/PRO-90874","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1427659","Director, Conduct Authority Representative","2020-03-11","2020-03-25",4
"Royal Canadian Mounted Police (Public Service Employees)","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","21-RCM-IA-N-N-NCR-EODR/ICHR-100159","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1617023","Director, Investigations and Programs Services","2021-06-11","2021-06-25",5
"Royal Canadian Mounted Police (Public Service Employees)","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, Other Area of Selection","EX01","Some post-secondary","16-RCM-IA-N-N-OTT-CIO-63877","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=990754","Director, IT Operations","2016-12-16","2017-01-09",6
"Royal Canadian Mounted Police (Public Service Employees)","Bilingual - imperative","National Capital Region","One Position","Internal Process, Public Servants in NCR","EX01","Post-secondary","17-RCM-DM-N-N-CMD-67518","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1048622","Director, Internal Services Financial Management *AMEND. AREA OF SELECTION AND CLOSING DATE *","2017-06-12","2017-06-30",7
"Royal Canadian Mounted Police (Public Service Employees)","English essential","Saskatchewan, Southern Saskatchewan","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","18-RCM-IA-R-F-REG-FDIV-75181","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1161436","Director Operational Strategy","2018-05-23","2018-06-06",7
"Royal Canadian Mounted Police (Public Service Employees)","English essential","Alberta, Edmonton Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","20-RCM-IA-R-K-EDM-EODR/CIP-91650","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1444221","Director, K Division Operational Communications Center (OCC) Program","2020-04-24","2020-05-08",7
"Royal Canadian Mounted Police (Public Service Employees)","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","20-RCM-IA-N-N-NCR-EODR/HR-94098","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1470135","Director, Member Benefits","2020-10-26","2020-11-09",7
"Royal Canadian Mounted Police (Public Service Employees)","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","21-RCM-IA-N-N-NCR-EODR/HR-99470","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1597633","Director, Pension Services","2021-05-12","2021-05-26",7
